,complexity,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,change_type,added,removed,defect
194,18,917,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,2,27,0,0
195,19,455,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,2,0,14,0
196,19,455,819,519,539,24,98,155,843,15,96,57,106,111,163,690,1107,8,9171,509,0,2,0,14,0
197,18,919,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,2,5,5,1
198,154,2757,1338,495,1086,10,64,173,1348,11,122,82,157,133,239,883,1686,7,11934,663,0,2,1,5,1
199,28,1795,373,158,315,8,0,51,381,5,76,44,79,81,123,486,779,2,2026,112,0,2,1,1,1
200,22,1090,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,2,54,32,1
201,23,1138,1513,682,1277,25,13,200,1538,11,199,116,219,210,335,1557,2584,6,15641,868,0,2,9,1,0
202,78,1665,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,2,35,25,1
203,78,1665,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,2,35,25,1
204,78,1665,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,35,25,1
205,78,1665,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,35,25,1
206,78,1665,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,35,25,1
207,78,1665,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,2,35,25,1
208,78,1665,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,35,25,1
209,78,1665,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,2,35,25,1
210,78,1665,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,35,25,1
211,78,1665,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,35,25,1
212,78,1665,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,35,25,1
213,78,1665,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,2,35,25,1
214,78,1665,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,35,25,1
215,78,1665,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,35,25,1
216,78,1665,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,2,35,25,1
217,78,1665,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,2,35,25,1
218,6,609,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,2,13,1,1
